Date,Close,market_cap,Volume
2021-08-14 00:00:00 UTC,5.27931525498547E-11,0.0,2720292.341330890
2021-08-15 00:00:00 UTC,5.27931525498547E-11,0.0,2720292.341330890
2021-08-16 00:00:00 UTC,4.02537605664284E-11,0.0,1429914.4403655800
2021-08-17 00:00:00 UTC,3.50935407916868E-11,0.0,443524.2926302880
2021-08-18 00:00:00 UTC,2.98975928698986E-11,0.0,303630.11412443500
2021-08-19 00:00:00 UTC,3.59479610110603E-11,0.0,579121.0161667980
2021-08-20 00:00:00 UTC,6.6543917395858E-11,0.0,1569294.3245577000
2021-08-21 00:00:00 UTC,3.38014725412492E-10,0.0,5097022.081343270
2021-08-22 00:00:00 UTC,2.87757215517693E-10,0.0,7776255.59270477
2021-08-23 00:00:00 UTC,4.77021170543186E-10,0.0,2875004.9295205700
2021-08-24 00:00:00 UTC,6.16298442675397E-10,0.0,8585979.482849710
2021-08-25 00:00:00 UTC,5.98608071552361E-10,0.0,4255886.978995760
2021-08-26 00:00:00 UTC,3.89712768113444E-10,0.0,2599699.892794250
2021-08-27 00:00:00 UTC,1.61525022751206E-10,0.0,8240651.226807610
2021-08-28 00:00:00 UTC,1.23936692052133E-10,0.0,1452713.9725396900
2021-08-29 00:00:00 UTC,1.08984625085349E-10,0.0,546215.0041588250
2021-08-30 00:00:00 UTC,1.10030535499914E-10,0.0,195354.1332412810
2021-08-31 00:00:00 UTC,2.32987347382528E-10,0.0,221105.4609852260
2021-09-01 00:00:00 UTC,2.02127006420768E-10,0.0,692436.2287962430
2021-09-02 00:00:00 UTC,2.08443109778404E-10,0.0,692357.7683844400
2021-09-03 00:00:00 UTC,1.42854142479238E-10,0.0,556586.1631078800
2021-09-04 00:00:00 UTC,1.29774895237515E-10,0.0,415221.34002966700
2021-09-05 00:00:00 UTC,1.49985082020322E-10,0.0,449947.56166220300
2021-09-06 00:00:00 UTC,1.48919645588431E-10,0.0,303544.96722518400
2021-09-07 00:00:00 UTC,1.45861926758257E-10,0.0,363482.7266840130
2021-09-08 00:00:00 UTC,1.0561484170699E-10,0.0,363598.3920488630
2021-09-09 00:00:00 UTC,8.90437394784073E-11,0.0,284730.48541672900
2021-09-10 00:00:00 UTC,8.29621733404183E-11,0.0,189494.5578154480
2021-09-11 00:00:00 UTC,1.86669827445299E-13,0.0,0.0
2021-09-12 00:00:00 UTC,1.86669827445299E-13,0.0,0.0
2021-09-13 00:00:00 UTC,1.86669827445299E-13,0.0,0.0
2021-09-14 00:00:00 UTC,1.86669827445299E-13,0.0,0.0
2021-09-15 00:00:00 UTC,1.86669827445299E-13,0.0,0.0
2021-09-16 00:00:00 UTC,1.86669827445299E-13,0.0,0.0
2021-09-17 00:00:00 UTC,1.86669827445299E-13,0.0,0.0
2021-09-18 00:00:00 UTC,1.86669827445299E-13,0.0,0.0
2021-09-19 00:00:00 UTC,1.86669827445299E-13,0.0,0.0
2021-09-20 00:00:00 UTC,1.86669827445299E-13,0.0,0.0
2021-09-21 00:00:00 UTC,1.86669827445299E-13,0.0,0.0
2021-09-22 00:00:00 UTC,1.86669827445299E-13,0.0,0.0
2021-09-23 00:00:00 UTC,1.86669827445299E-13,0.0,0.0
2021-09-24 00:00:00 UTC,1.86669827445299E-13,0.0,0.0
2021-09-25 00:00:00 UTC,1.86669827445299E-13,0.0,0.0
2021-09-26 00:00:00 UTC,1.86669827445299E-13,0.0,0.0
2021-09-27 00:00:00 UTC,1.86669827445299E-13,0.0,0.0
2021-09-28 00:00:00 UTC,1.86669827445299E-13,0.0,0.0
2021-09-29 00:00:00 UTC,1.86669827445299E-13,0.0,0.0
2021-09-30 00:00:00 UTC,1.86669827445299E-13,0.0,0.0
2021-10-01 00:00:00 UTC,1.86669827445299E-13,0.0,0.0